地市州,年份,地区生产总值GDP（亿元）,人均 GDP（元）,GDP 增长率（%）,第二产业占 GDP 比重（%）,第三产业占 GDP 比重（%）,财政预算收入（亿元）,人均财政收入（元）,实际外商直接投资（亿美元）,外贸进出口总额（亿美元）,社会消费品零售总额（亿元）,人均批发零售总额（元）,城镇居民人均可支配收入（元）,农村居民人均可支配收入（元）,人均金融机构存款余额（元）,货物周转量（亿吨公里）,旅客周转量（亿人公里）,邮电业务总量（亿元）,旅游人数（万人次）（2021年后未统计入境旅游人数）,城乡人口总数（万人）,城镇人口占总人口比重（%）,高等教育在校人数（万人）,财政科学技术支出（亿元）
湖北,2020,0.7238,0.3341,0.1805,0.6382,0.3949,0.6376,0.2878,0.8311,0.6259,0.6814,0.4939,0.1813,0.2211,0.2772,0.583,0.5537,1,0.5001,0.9882,0.4684,0.8309,0.6615
湖北,2021,0.8333,0.4299,0.8534,0.5887,0.4499,0.8338,0.406,1,0.8382,0.8292,0.6036,0.2871,0.3094,0.3099,0.7425,0.6734,0.1884,0.6939,0.9976,0.4972,0.8792,0.723
湖北,2022,0.8953,0.475,0.5301,0.6513,0.3908,0.8332,0.4045,0.2123,0.9349,0.8646,0.6296,0.3566,0.375,0.358,0.8307,0.4869,0.2127,0.6691,1,0.5112,0.9231,0.8657
湖北,2023,0.9298,0.5028,0.594,0.5246,0.5204,0.9379,0.4699,0.219,0.9239,0.9514,0.6976,0.4266,0.4466,0.4113,0.9462,0.9294,0.2345,0.8837,0.999,0.5304,0.9603,0.9148
武汉,2020,0.2598,0.7998,0.1917,0.5,0.7864,0.3118,0.7981,0.6688,0.3953,0.2351,0.8164,0.5858,0.5716,0.8173,0.4459,0.5271,0.3348,0.2957,0.2122,0.9834,0.5711,0.3502
武汉,2021,0.2949,0.8245,0.8271,0.4789,0.8091,0.4004,0.9532,0.7927,0.525,0.2638,0.8363,0.732,0.7142,0.8107,0.4094,0.6613,0.0727,0.3099,0.2328,0.9894,0.5972,0.4367
武汉,2022,0.314,0.8405,0.5188,0.5004,0.7879,0.3816,0.8966,0.1642,0.5294,0.2732,0.8615,0.8268,0.8089,0.8626,0.2957,0.1439,0.0831,0.234,0.2343,0.9918,0.6179,0.408
武汉,2023,0.3331,0.902,0.5827,0.3963,0.8941,0.4061,0.9586,0.1675,0.5159,0.3009,0.9505,0.9214,0.911,0.9405,0.3314,0.322,0.0902,0.381,0.2349,0.995,0.635,0.4163
黄石,2020,0.0269,0.2701,0.1466,1,0.1363,0.0215,0.2162,0.016,0.0349,0.0282,0.4862,0.217,0.2321,0.1348,0.0085,0.0079,0.017,0.0127,0.0413,0.5422,0.0252,0.0123
黄石,2021,0.0306,0.3488,0.8571,0.8744,0.266,0.031,0.3609,0.0202,0.0512,0.0366,0.6482,0.3259,0.3242,0.1692,0.0112,0.004,0.0211,0.0189,0.0409,0.5504,0.0268,0.0142
黄石,2022,0.0335,0.4068,0.5789,0.9585,0.182,0.0338,0.4026,0.0026,0.0617,0.0379,0.671,0.4097,0.3939,0.2146,0.0114,0.0029,0.0256,0.0184,0.0409,0.5682,0.0284,0.0166
黄石,2023,0.0346,0.4295,0.6241,0.8698,0.2741,0.0421,0.5269,0.0019,0.0691,0.0418,0.7452,0.4801,0.4676,0.2553,0.0118,0.0032,0.031,0.0252,0.0408,0.597,0.0302,0.0047
十堰,2020,0.0314,0.2024,0.1842,0.7239,0.2964,0.0217,0.1436,0.0058,0.0078,0.0359,0.4737,0.0647,0.0142,0.1605,0.0125,0.0041,0.0052,0.0903,0.054,0.4455,0.0261,0.0139
十堰,2021,0.0356,0.2824,0.8008,0.6214,0.4068,0.0284,0.2243,0.0082,0.0174,0.0472,0.6438,0.153,0.0768,0.1871,0.005,0.0067,0.0067,0.0981,0.0531,0.4479,0.0285,0.016
十堰,2022,0.0379,0.3217,0.5038,0.6724,0.3525,0.0284,0.2236,0.0006,0.0241,0.0494,0.6732,0.2145,0.1254,0.221,0.0048,0.0045,0.0073,0.0099,0.0532,0.4621,0.0332,0.0271
十堰,2023,0.0388,0.3359,0.5977,0.5349,0.4863,0.0345,0.2945,0.001,0.0258,0.0543,0.7474,0.2744,0.178,0.2704,0.0055,0.0063,0.0079,0.137,0.053,0.485,0.0356,0.0286
